Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2020-02-21 00:00:00-05:00,8.970000267028809,9.0,8.4399995803833,8.6899995803833,206100,0,0,-0.033370433634343666,1.0821917645528856,8.761999797821044,9.280902223932157,8.243097371709931,9.019999980926514,8.90500020980835,,,6.71999979019165
2020-02-24 00:00:00-05:00,8.279999732971191,8.609999656677246,7.199999809265137,8.470000267028809,264900,0,0,-0.025316377903068732,1.054794588877876,8.742499828338623,9.27449577518264,8.210503881494606,8.400000095367432,8.400000095367432,,,6.730000019073486
2020-02-25 00:00:00-05:00,8.510000228881836,8.609999656677246,8.079999923706055,8.25,376500,0,0,-0.025974056681580593,1.0273972944389376,8.720499849319458,9.29456212244333,8.146437576195586,8.400000095367432,8.400000095367432,8.770000100135803,,6.130000114440918
2020-02-26 00:00:00-05:00,8.229999542236328,8.359999656677246,8.130000114440918,8.210000038146973,185200,0,0,-0.004848480224609375,1.0224159789740332,8.689499855041504,9.302630932256987,8.076368777826021,8.400000095367432,8.400000095367432,8.772500038146973,,6.059999942779541
2020-02-27 00:00:00-05:00,8.0,8.149999618530273,7.880000114440918,7.889999866485596,235900,0,0,-0.038976878218578204,0.982565395872834,8.646999859809876,9.352230000391335,7.941769719228416,8.400000095367432,8.400000095367432,8.792500138282776,,5.989999771118164
2020-02-28 00:00:00-05:00,7.599999904632568,7.610000133514404,7.170000076293945,7.389999866485596,401100,0,0,-0.06337135721939025,0.920298893179565,8.585999870300293,9.481262450559035,7.690737290041552,8.385000228881836,8.385000228881836,8.81250011920929,,6.190000057220459
2020-03-02 00:00:00-05:00,7.320000171661377,7.480000019073486,7.0,7.150000095367432,333800,0,0,-0.0324762889653879,0.8904110003901389,8.523499894142152,9.616952250349566,7.430047537934738,8.139999866485596,8.300000190734863,8.835000038146973,,5.980000019073486
2020-03-03 00:00:00-05:00,7.150000095367432,7.53000020980835,7.150000095367432,7.21999979019165,217800,0,0,0.009790166977700077,0.8991282727627393,8.469499874114991,9.701282821903954,7.237716926326028,8.005000114440918,8.300000190734863,8.860000133514404,,5.440000057220459
2020-03-04 00:00:00-05:00,7.300000190734863,7.5,7.25,7.46999979019165,276400,0,0,0.034626039787373,0.9302615241093739,8.421499848365784,9.729033495717577,7.113966201013992,8.0,8.300000190734863,8.884999990463257,,5.699999809265137
2020-03-05 00:00:00-05:00,7.349999904632568,7.369999885559082,7.03000020980835,7.110000133514404,317700,0,0,-0.04819272647770845,0.8854296849252347,8.346499872207641,9.77039803199132,6.922601712423961,7.804999828338623,8.300000190734863,8.894999980926514,,6.050000190734863
2020-03-06 00:00:00-05:00,6.860000133514404,7.130000114440918,6.78000020980835,7.130000114440918,253900,0,0,0.00281293678634964,0.8879203426576868,8.277999877929688,9.795551170893154,6.7604485849662215,7.694999933242798,8.190000295639038,8.835000038146973,,6.070000171661377
2020-03-09 00:00:00-04:00,6.5,6.789999961853027,6.039999961853027,6.150000095367432,488800,0,0,-0.1374474057985805,0.7658779950036011,8.161499905586243,9.937850070890514,6.385149740281973,7.199999809265137,7.820000171661378,8.835000038146973,,6.110000133514404
2020-03-10 00:00:00-04:00,6.769999980926514,7.900000095367432,6.769999980926514,7.46999979019165,995200,0,0,0.21463409339107575,0.9302615241093739,8.095999908447265,9.87290916283002,6.319090654064511,7.09499979019165,7.820000171661378,8.759999990463257,,6.010000228881836
2020-03-11 00:00:00-04:00,7.320000171661377,7.690000057220459,7.099999904632568,7.21999979019165,639100,0,0,-0.03346720308188733,0.8991282727627394,8.009499907493591,9.780049331080733,6.238950483906449,6.9700000286102295,7.820000171661378,8.707499980926514,,6.179999828338623
2020-03-12 00:00:00-04:00,6.539999961853027,6.769999980926514,6.110000133514404,6.130000114440918,390000,0,0,-0.15096948856307368,0.7633873372711488,7.868999934196472,9.764836554247228,5.973163314145715,6.9700000286102295,7.820000171661378,8.707499980926514,,6.349999904632568
2020-03-13 00:00:00-04:00,6.659999847412109,6.760000228881836,5.980000019073486,6.230000019073486,311600,0,0,0.01631319784105556,0.7758406259334096,7.73149995803833,9.683760918394466,5.779238997682194,6.940000057220459,7.790000200271607,8.707499980926514,,6.190000057220459
2020-03-16 00:00:00-04:00,5.800000190734863,6.130000114440918,5.650000095367432,5.909999847412109,556600,0,0,-0.051364393367845707,0.7359900428322104,7.564999961853028,9.54236188668215,5.587638037023907,6.775000095367432,7.62500023841858,8.682500123977661,,6.53000020980835
